"","executionId","project","caller","callee","killedM"
"1",1,"closure","com.google.javascript.rhino.head.IdScriptableObject","com.google.javascript.rhino.head.ScriptableObject",329
"2",1,"closure","com.google.javascript.rhino.head.IRFactory","com.google.javascript.rhino.head.Node",58
"3",1,"closure","com.google.javascript.rhino.head.IRFactory","com.google.javascript.rhino.head.Parser",209
"4",1,"closure","com.google.javascript.rhino.head.NativeArray","com.google.javascript.rhino.head.ScriptableObject",73
"5",1,"closure","com.google.javascript.rhino.head.NativeObject","com.google.javascript.rhino.head.ScriptableObject",375
"6",1,"closure","com.google.javascript.rhino.head.regexp.NativeRegExp","com.google.javascript.rhino.head.ScriptRuntime",108
"7",1,"closure","com.google.javascript.rhino.head.tools.debugger.Dim","com.google.javascript.rhino.head.ScriptRuntime",39
"8",1,"closure","com.google.javascript.rhino.jstype.JSType","com.google.javascript.rhino.jstype.FunctionType",255
"9",1,"closure","com.google.javascript.rhino.jstype.JSType","com.google.javascript.rhino.jstype.ProxyObjectType",8
"10",1,"lang","org.apache.commons.lang3.builder.ToStringBuilder","org.apache.commons.lang3.builder.ToStringStyle",1
"11",1,"lang","org.apache.commons.lang3.concurrent.MultiBackgroundInitializer","org.apache.commons.lang3.concurrent.BackgroundInitializer",10
"12",1,"lang","org.apache.commons.lang3.text.StrBuilder$StrBuilderReader","org.apache.commons.lang3.text.StrBuilder",4
"13",1,"lang","org.apache.commons.lang3.text.StrSubstitutor","org.apache.commons.lang3.text.StrBuilder",12
"14",1,"lang","org.apache.commons.lang3.text.translate.UnicodeEscaper","org.apache.commons.lang3.text.translate.CharSequenceTranslator",1
"15",1,"lang","org.apache.commons.lang3.time.DurationFormatUtils","org.apache.commons.lang3.time.DurationFormatUtils$Token",9
"16",1,"lang","org.apache.commons.lang3.time.FastDateFormat","org.apache.commons.lang3.time.FastDateFormat$TextField",12
"17",1,"math","org.apache.commons.math.analysis.LaguerreSolver","org.apache.commons.math.complex.Complex",6
"18",1,"math","org.apache.commons.math.analysis.MullerSolver","org.apache.commons.math.analysis.UnivariateRealSolverImpl",95
"19",1,"math","org.apache.commons.math.fraction.ProperFractionFormat","org.apache.commons.math.fraction.FractionFormat",80
"20",1,"math","org.apache.commons.math.linear.MatrixUtils","org.apache.commons.math.linear.BigMatrixImpl",112
"21",1,"math","org.apache.commons.math.ode.AbstractStepInterpolator","org.apache.commons.math.ode.DormandPrince853StepInterpolator",73
"22",1,"math","org.apache.commons.math.ode.ContinuousOutputModel","org.apache.commons.math.ode.AbstractStepInterpolator",44
"23",1,"math","org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator","org.apache.commons.math.ode.DormandPrince853Integrator",11
"24",1,"math","org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator","org.apache.commons.math.ode.HighamHall54Integrator",6
"25",1,"math","org.apache.commons.math.ode.GraggBulirschStoerIntegrator","org.apache.commons.math.ode.AdaptiveStepsizeIntegrator",53
"26",1,"math","org.apache.commons.math.ode.GraggBulirschStoerIntegrator","org.apache.commons.math.ode.SwitchingFunctionsHandler",5
"27",1,"math","org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator","org.apache.commons.math.ode.AbstractStepInterpolator",45
"28",1,"math","org.apache.commons.math.ode.SwitchingFunctionsHandler","org.apache.commons.math.ode.SwitchState",62
"29",1,"math","org.apache.commons.math.ode.SwitchState","org.apache.commons.math.analysis.BrentSolver",13
"30",1,"math","org.apache.commons.math.optimization.NelderMead","org.apache.commons.math.optimization.DirectSearchOptimizer",60
"31",1,"math","org.apache.commons.math.random.EmpiricalDistributionImpl","org.apache.commons.math.stat.descriptive.SummaryStatistics",36
"32",1,"math","org.apache.commons.math.stat.inference.TTestImpl","org.apache.commons.math.stat.StatUtils",20
"33",1,"math","org.apache.commons.math.transform.FastFourierTransformer","org.apache.commons.math.complex.Complex",339
"34",1,"mockito","org.mockito.asm.AnnotationWriter","org.mockito.asm.ClassWriter",479
"35",1,"mockito","org.mockito.asm.MethodWriter","org.mockito.asm.ByteVector",92
"36",1,"mockito","org.mockito.asm.MethodWriter","org.mockito.asm.ClassWriter",12
"37",1,"mockito","org.mockito.asm.tree.analysis.BasicVerifier","org.mockito.asm.tree.analysis.BasicInterpreter",14
"38",1,"mockito","org.mockito.asm.util.ASMifierClassVisitor","org.mockito.asm.util.ASMifierAbstractVisitor",24
"39",1,"mockito","org.mockito.cglib.core.ClassEmitter","org.mockito.cglib.transform.impl.InterceptFieldTransformer",10
"40",1,"mockito","org.mockito.cglib.core.CodeEmitter","org.mockito.cglib.core.ClassEmitter",1
"41",1,"mockito","org.mockito.cglib.core.CodeEmitter","org.mockito.cglib.core.TypeUtils",130
"42",1,"mockito","org.mockito.cglib.core.EmitUtils","org.mockito.cglib.core.CodeEmitter",49
"43",1,"mockito","org.mockito.cglib.proxy.Enhancer","org.mockito.cglib.core.ReflectUtils",28
"44",1,"mockito","org.mockito.cglib.proxy.Mixin$Generator","org.mockito.cglib.core.ReflectUtils",32
"45",1,"time","org.joda.time.base.AbstractPartial","org.joda.time.MonthDay",18
"46",1,"time","org.joda.time.base.AbstractPartial","org.joda.time.TimeOfDay",1
"47",1,"time","org.joda.time.base.AbstractPartial","org.joda.time.YearMonth",4
"48",1,"time","org.joda.time.base.BasePeriod","org.joda.time.base.AbstractPeriod",1
"49",1,"time","org.joda.time.chrono.BasicChronology","org.joda.time.chrono.IslamicChronology",23
"50",1,"time","org.joda.time.chrono.BasicWeekyearDateTimeField","org.joda.time.chrono.BasicChronology",277
"51",1,"time","org.joda.time.chrono.CopticChronology","org.joda.time.DateTimeZone",25
"52",1,"time","org.joda.time.chrono.GJChronology","org.joda.time.chrono.JulianChronology",2
"53",1,"time","org.joda.time.chrono.ISOChronology","org.joda.time.chrono.AssembledChronology",72
"54",1,"time","org.joda.time.chrono.ISOChronology","org.joda.time.DateTimeZone",186
"55",1,"time","org.joda.time.chrono.ZonedChronology","org.joda.time.chrono.AssembledChronology",2
"56",1,"time","org.joda.time.chrono.ZonedChronology","org.joda.time.DateTimeZone",17
"57",1,"time","org.joda.time.chrono.ZonedChronology$ZonedDateTimeField","org.joda.time.DateTimeZone",19
"58",1,"time","org.joda.time.DateTimeUtils","org.joda.time.DateTimeZone",33
"59",1,"time","org.joda.time.DateTimeZone","org.joda.time.format.DateTimeFormat",70
"60",1,"time","org.joda.time.format.DateTimeFormat","org.joda.time.format.DateTimeFormat$StyleFormatter",5
"61",1,"time","org.joda.time.format.DateTimeFormatter","org.joda.time.DateTimeZone",18
"62",1,"time","org.joda.time.format.DateTimeFormatter","org.joda.time.format.DateTimeParserBucket",96
"63",1,"time","org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber","org.joda.time.format.DateTimeFormatterBuilder",6
"64",1,"time","org.joda.time.format.DateTimeFormatterBuilder$TextField","org.joda.time.format.DateTimeParserBucket",2
"65",1,"time","org.joda.time.format.ISODateTimeFormat","org.joda.time.format.DateTimeFormatterBuilder",15
"66",1,"time","org.joda.time.Hours","org.joda.time.base.BaseSingleFieldPeriod",6
"67",1,"time","org.joda.time.LocalDate","org.joda.time.format.ISODateTimeFormat",33
"68",1,"time","org.joda.time.LocalDateTime","org.joda.time.DateTimeZone",47
