tool,execution_id,project,caller_class,callee_class,total_cb,covered_cb
cling,7,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,8,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,9,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,10,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,11,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,12,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,284
cling,13,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,14,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,15,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,284
cling,16,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,17,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,18,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,284
cling,19,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,20,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.AbstractClassGenerator,331,285
cling,1,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,2,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,3,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,4,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,5,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,6,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,7,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,8,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,9,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,10,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,11,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,12,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,13,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,14,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,15,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,16,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,17,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,18,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,19,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,20,mockito,org.mockito.cglib.util.SorterTemplate,org.mockito.cglib.util.ParallelSorter,0,0
cling,1,mockito,org.mockito.asm.tree.analysis.BasicVerifier,org.mockito.asm.tree.analysis.BasicInterpreter,6825,68
cling,2,mockito,org.mockito.asm.tree.analysis.BasicVerifier,org.mockito.asm.tree.analysis.BasicInterpreter,6825,40
cling,3,mockito,org.mockito.asm.tree.analysis.BasicVerifier,org.mockito.asm.tree.analysis.BasicInterpreter,6825,121
cling,4,mockito,org.mockito.asm.tree.analysis.BasicVerifier,org.mockito.asm.tree.analysis.BasicInterpreter,6825,117
